,Index,Sentiment,Text
0,0,1,i loooooooovvvvvveee my kindle not that the dx is cool but the  is fantastic in its own right
1,1,1,reading my kindle  love it lee childs is good read
2,2,1,ok first assesment of the kindle it fucking rocks
3,3,1,youll love your kindle ive had mine for a few months and never looked back the new big one is huge no need for remorse 
4,4,1, fair enough but i have the kindle and i think its perfect  
5,5,1,no it is too big im quite happy with the kindle
6,6,0,fuck this economy i hate aig and their non loan given asses
7,7,1,jquery is my new best friend
8,8,1,loves twitter
9,9,1,how can you not love obama he makes jokes about himself
10,11,0,i firmly believe that obamapelosi have zero desire to be civil  its a charade and a slogan but they want to destroy conservatism
11,12,1,house correspondents dinner was last night whoopi barbara amp sherri went obama got a standing ovation
12,13,1,watchin espnjus seen this new nike commerical with a puppet lebronsht was hilariouslmao
13,14,0,dear nike stop with the flywire that shit is a waste of science and ugly love 
14,15,1,lebron best athlete of our generation if not all time basketball related i dont want to get into intersport debates about   
15,16,0,i was talking to this guy last night and he was telling me that he is a die hard spurs fan  he also told me that he hates lebron james
16,17,1,i love lebron 
17,18,0,lebron is a beast but im still cheering  the atil the end
18,19,1,lebron is the boss
19,20,1,lebron is a hometown hero to me lol i love the lakers but lets go cavs lol
20,21,1,lebron and zydrunas are such an awesome duo
21,22,1,lebron is a beast nobody in the nba comes even close
22,23,1,downloading apps for my iphone so much fun  there literally is an app for just about anything
23,24,1,good news just had a call from the visa office saying everything is finewhat a relief i am sick of scams out there stealing
24,25,1,httptwurlnlepkrb  awesome come back from via 
25,26,1,in montreal for a long weekend of rampr much needed
26,27,1,booz allen hamilton has a bad ass homegrown social collaboration platform way cool  ttiv
27,28,1,mluc customer innovation award winner booz allen hamilton  
28,29,1,i current use the nikon d and love it but not as much as the canon dd i chose the d for the  video feature my mistake
29,32,1,google is always a good place to look shouldve mentioned i worked on the mustang w my dad 
30,33,0,played with an android google phone the slide out screen scares me i would break that fucker so fast still prefer my iphone
31,34,0,us planning to resume the military tribunals at guantanamo bay only this time those on trial will be aig execs and chrysler debt holders
32,35,0,omg so bored amp my tattoooos are so itchy  help aha 
33,36,0,im itchy and miserable
34,37,0,no im not itchy for now maybe later lol
35,38,1,rt i love the nerdy stanford human biology videos  makes me miss school 
36,39,1,has been a bit crazy with steep learning curve but lyx is really good for long docs for anything shorter it would be insane
37,40,1,im listening to pyt by danny gokey lt lt lt aww hes so amazing i lt him so much 
38,41,1,is going to sleep then on a bike ride
39,42,0,cant sleep my tooth is aching
40,43,0,blah blah blah same old same old no plans today going back to sleep i guess
41,44,0,glad i didnt do bay to breakers today its  freaking degrees in san francisco wtf
